# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
106 -1.98639385000000e+01 -2.70790979851702e+01 7.10427681000000e+00 7.10427681000000e+00 1.01560787651378e+00
107 -3.86003700000000e+01 -2.77344639291308e+01 7.17124035000000e+00 7.17124035000000e+00 -1.51520595330056e+00
108 -4.28470985000000e+01 -2.83870331599223e+01 7.23760879000000e+00 7.23760879000000e+00 -1.99790645773184e+00
109 -3.98287171000000e+01 -2.90361460856726e+01 7.30335033000000e+00 7.30335033000000e+00 -1.47775617034208e+00
110 -2.97317851000000e+01 -2.96813658311449e+01 7.36845904000000e+00 7.36845904000000e+00 -6.84257978247387e-03
111 -1.54339408000000e+01 -3.03221780090780e+01 7.43283937000000e+00 7.43283937000000e+00 2.00303497330630e+00
112 -3.12720529000000e+01 -3.09578322092511e+01 7.49651361000000e+00 7.49651361000000e+00 -4.19155766394873e-02
113 -1.59786141000000e+01 -3.15879458204573e+01 7.55937739000000e+00 7.55937739000000e+00 2.06489647429248e+00
114 -1.77965029000000e+01 -3.22118394304896e+01 7.62143622000000e+00 7.62143622000000e+00 1.89141995214252e+00
115 -3.42578467000000e+01 -3.28289821352112e+01 7.68264658000000e+00 7.68264658000000e+00 -1.85985981511699e-01
116 -4.81147970000000e+01 -3.34388431045394e+01 7.74296784000000e+00 7.74296784000000e+00 -1.89539130198177e+00
117 -5.45177171000000e+01 -3.40408173662380e+01 7.80237055000000e+00 7.80237055000000e+00 -2.62444594274775e+00
118 -4.18676406000000e+01 -3.46343000254521e+01 7.86080448000000e+00 7.86080448000000e+00 -9.20178156440790e-01
119 -3.11007646000000e+01 -3.52188347020310e+01 7.91824414000000e+00 7.91824414000000e+00 5.20073646280749e-01
120 -3.46549805000000e+01 -3.57938166605089e+01 7.97470518000000e+00 7.97470518000000e+00 1.42806051735308e-01
121 -5.08839407000000e+01 -3.63586412472378e+01 8.03006907000000e+00 8.03006907000000e+00 -1.80886357590971e+00
122 -2.77254521000000e+01 -3.69128523275500e+01 8.08438747000000e+00 8.08438747000000e+00 1.13643739388334e+00
123 -4.27301970000000e+01 -3.74558454154190e+01 8.13757061000000e+00 8.13757061000000e+00 -6.48148180502365e-01
124 -2.08346053000000e+01 -3.79870161103930e+01 8.18961477000000e+00 8.18961477000000e+00 2.09440996824726e+00
